id,text,author_id,created_at,public_metrics,reply_settings,entities,possibly_sensitive,edit_history_tweet_ids,source,lang,referenced_tweets,conversation_id,in_reply_to_user_id,attachments,predictions
247877564532674560,@neewshamm @wacobjilliams not everyone is calling him garbage..it's just been a bad game for denver so far,337478070,2012-09-18T01:59:51.000Z,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}",everyone,"{'annotations': [{'start': 93, 'end': 98, 'probability': 0.7884, 'type': 'Place', 'normalized_text': 'denver'}], 'mentions': [{'start': 11, 'end': 25, 'username': 'WacobJilliams', 'id': '478997168'}]}",False,['247877564532674560'],Twitter for iPhone,en,"[{'type': 'replied_to', 'id': '247876134270808064'}]",247876134270808064,284547633.0,,1
247877544773304320,Nomura and HK Cleanup joined hands to make a difference on Sunday. Read about the 200 volunteers and their impact below http://t.co/NNMYDlDR,626145220,2012-09-18T01:59:48.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",everyone,"{'urls': [{'start': 120, 'end': 140, 'url': 'http://t.co/NNMYDlDR', 'expanded_url': 'https://twitter.com/HongKongCleanup/status/247877544773304320/photo/1', 'display_url': 'pic.twitter.com/NNMYDlDR', 'media_key': '3_247877544777498625'}], 'annotations': [{'start': 0, 'end': 5, 'probability': 0.6362, 'type': 'Other', 'normalized_text': 'Nomura'}, {'start': 11, 'end': 20, 'probability': 0.7806, 'type': 'Other', 'normalized_text': 'HK Cleanup'}]}",False,['247877544773304320'],Twitter Web Client,en,,247877544773304320,,{'media_keys': ['3_247877544777498625']},1
247877543225610240,"I just uploaded ""Hurricane LP-HD 720p Video Sharing V2"" to Vimeo: http://t.co/SAnTlYkE",144092143,2012-09-18T01:59:46.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",everyone,"{'urls': [{'start': 66, 'end': 86, 'url': 'http://t.co/SAnTlYkE', 'expanded_url': 'http://vimeo.com/49647546', 'display_url': 'vimeo.com/49647546'}], 'annotations': [{'start': 17, 'end': 28, 'probability': 0.8053, 'type': 'Other', 'normalized_text': 'Hurricane LP'}, {'start': 59, 'end': 63, 'probability': 0.7428, 'type': 'Other', 'normalized_text': 'Vimeo'}]}",False,['247877543225610240'],Vimeo,en,,247877543225610240,,,1
247877517443223553,Its a hurricane outside!!!!!,64530633,2012-09-18T01:59:40.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",everyone,,False,['247877517443223553'],TweetCaster for Android,en,,247877517443223553,,,1
247877506026319873,Naming this hurricane Adam,274659344,2012-09-18T01:59:37.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",everyone,"{'annotations': [{'start': 22, 'end': 25, 'probability': 0.4965, 'type': 'Person', 'normalized_text': 'Adam'}]}",False,['247877506026319873'],Twitter for iPhone,en,,247877506026319873,,,1
247877504902254592,The largest sandy island http://t.co/OiKkP12c,159849384,2012-09-18T01:59:37.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",everyone,"{'urls': [{'start': 25, 'end': 45, 'url': 'http://t.co/OiKkP12c', 'expanded_url': 'http://mysteriousall.com/2011/09/the-largest-sandy-island.html', 'display_url': 'mysteriousall.com/2011/09/the-la…'}], 'annotations': [{'start': 18, 'end': 23, 'probability': 0.6669, 'type': 'Place', 'normalized_text': 'island'}]}",False,['247877504902254592'],Twitter for Websites,en,,247877504902254592,,,1
247877495410528256,The largest sandy island http://t.co/gobNww7b,159849384,2012-09-18T01:59:34.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",everyone,"{'urls': [{'start': 25, 'end': 45, 'url': 'http://t.co/gobNww7b', 'expanded_url': 'http://lnkd.in/_ZExR4', 'display_url': 'lnkd.in/_ZExR4'}], 'annotations': [{'start': 18, 'end': 23, 'probability': 0.6669, 'type': 'Place', 'normalized_text': 'island'}]}",False,['247877495410528256'],LinkedIn,en,,247877495410528256,,,1
247877423402717185,@TawneyBomb arw you talking about the hurricane ike?,626694401,2012-09-18T01:59:17.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",everyone,"{'annotations': [{'start': 38, 'end': 46, 'probability': 0.5043, 'type': 'Other', 'normalized_text': 'hurricane'}]}",False,['247877423402717185'],Twitter for Android,en,"[{'type': 'replied_to', 'id': '247876943993790464'}]",247873853513162752,231719556.0,,1
247877374769778691,"I-84, 3 Mi E of @ Columbia River Hwy US30, Unconfirmed, An unconfirmed report of hazardous debris has been receiv... http://t.co/OAPccXsE",126011014,2012-09-18T01:59:06.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",everyone,"{'urls': [{'start': 117, 'end': 137, 'url': 'http://t.co/OAPccXsE', 'expanded_url': 'http://tpck.us/I137705', 'display_url': 'tpck.us/I137705'}], 'annotations': [{'start': 18, 'end': 31, 'probability': 0.7627, 'type': 'Place', 'normalized_text': 'Columbia River'}, {'start': 37, 'end': 40, 'probability': 0.3731, 'type': 'Place', 'normalized_text': 'US30'}]}",False,['247877374769778691'],ODOTRoadStatus,en,,247877374769778691,,,1
247877373360500737,"#NowPlayingTrack - ""The Word 'Hurricane'"" by Air",50070799,2012-09-18T01:59:05.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",everyone,"{'annotations': [{'start': 20, 'end': 38, 'probability': 0.9238, 'type': 'Other', 'normalized_text': ""The Word 'Hurricane""}, {'start': 45, 'end': 47, 'probability': 0.9311, 'type': 'Organization', 'normalized_text': 'Air'}], 'hashtags': [{'start': 0, 'end': 16, 'tag': 'NowPlayingTrack'}]}",False,['247877373360500737'],Twitter for iPhone,en,,247877373360500737,,,1
