id,text,author_id,created_at,public_metrics,reply_settings,entities,possibly_sensitive,edit_history_tweet_ids,source,lang,referenced_tweets,conversation_id,in_reply_to_user_id,attachments,withheld,predictions
474324689339559937,"@Alexs1776 @NH92276 Still passing around all this garbage. Congress has their own insurance already, publicly funded. Stop w/ the lies",244172601,2014-06-04T22:59:53.000Z,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}",everyone,"{'annotations': [{'start': 59, 'end': 66, 'probability': 0.6217, 'type': 'Organization', 'normalized_text': 'Congress'}], 'mentions': [{'start': 0, 'end': 10, 'username': 'Alexs1776', 'id': '795680612'}, {'start': 11, 'end': 19, 'username': 'NH92276', 'id': '157398659'}]}",False,['474324689339559937'],Twitter Web Client,en,"[{'type': 'replied_to', 'id': '474323996977422336'}]",4.7432399697742234e+17,795680612.0,,,1
474324676806995968,#BePrepared Are you familiar with the Saffir-Simpson Hurricane Wind Scale? Learn what those numbers mean from @NOAA: http://t.co/EneXjm6JXH,46172460,2014-06-04T22:59:50.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",everyone,"{'urls': [{'start': 117, 'end': 139, 'url': 'http://t.co/EneXjm6JXH', 'expanded_url': 'http://farme.rs/6019cP3D', 'display_url': 'farme.rs/6019cP3D'}], 'annotations': [{'start': 38, 'end': 43, 'probability': 0.5654, 'type': 'Other', 'normalized_text': 'Saffir'}, {'start': 45, 'end': 72, 'probability': 0.7641, 'type': 'Other', 'normalized_text': 'Simpson Hurricane Wind Scale'}], 'hashtags': [{'start': 0, 'end': 11, 'tag': 'BePrepared'}], 'mentions': [{'start': 110, 'end': 115, 'username': 'NOAA', 'id': '14342564'}]}",False,['474324676806995968'],Sprinklr,en,,4.74324676806996e+17,,,,1
474324671899660288,RT @th3Derek: @Cartoonsbyjosh @richardabetts @RogTallbloke @lucialiljegren @RichardTol @EricHolthaus Hurricane Tibbles has a nice ring,89165845,2014-06-04T22:59:48.000Z,"{'retweet_count': 1, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",everyone,"{'annotations': [{'start': 101, 'end': 117, 'probability': 0.9445, 'type': 'Other', 'normalized_text': 'Hurricane Tibbles'}], 'mentions': [{'start': 3, 'end': 12, 'username': 'th3Derek', 'id': '876098142'}, {'start': 14, 'end': 29, 'username': 'Cartoonsbyjosh', 'id': '380517384'}, {'start': 30, 'end': 44, 'username': 'richardabetts', 'id': '101081754'}, {'start': 45, 'end': 58, 'username': 'RogTallbloke', 'id': '89165845'}, {'start': 59, 'end': 74, 'username': 'lucialiljegren', 'id': '7994972'}, {'start': 75, 'end': 86, 'username': 'RichardTol', 'id': '40627145'}, {'start': 87, 'end': 100, 'username': 'EricHolthaus', 'id': '290180065'}]}",False,['474324671899660288'],Twitter Web Client,en,"[{'type': 'retweeted', 'id': '474324355275825152'}]",4.743246718996603e+17,,,,1
474324644833398784,"RT @Chicagoist: Our music video of the day is @msmrsounds ""Hurricane."" They play @metrochicago June 14. http://t.co/qzi8KZyE9a",10253262,2014-06-04T22:59:42.000Z,"{'retweet_count': 2, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",everyone,"{'urls': [{'start': 104, 'end': 126, 'url': 'http://t.co/qzi8KZyE9a', 'expanded_url': 'http://ow.ly/xDvrl', 'display_url': 'ow.ly/xDvrl'}], 'annotations': [{'start': 59, 'end': 67, 'probability': 0.777, 'type': 'Other', 'normalized_text': 'Hurricane'}], 'mentions': [{'start': 3, 'end': 14, 'username': 'Chicagoist', 'id': '5654712'}, {'start': 46, 'end': 57, 'username': 'msmrsounds', 'id': '339804858'}, {'start': 81, 'end': 94, 'username': 'MetroChicago', 'id': '10253262'}]}",False,['474324644833398784'],Tweetbot for Mac,en,"[{'type': 'retweeted', 'id': '474321007315263489'}]",4.743246448333988e+17,,,,1
474324628383744000,RT @Zywave: Live in a #hurricane prone area? Here are tips for protecting your house in the event of a storm: http://t.co/VrjI6S1AC7,302271956,2014-06-04T22:59:38.000Z,"{'retweet_count': 2, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",everyone,"{'urls': [{'start': 110, 'end': 132, 'url': 'http://t.co/VrjI6S1AC7', 'expanded_url': 'http://bit.ly/U70upD', 'display_url': 'bit.ly/U70upD'}], 'annotations': [{'start': 23, 'end': 31, 'probability': 0.4942, 'type': 'Other', 'normalized_text': 'hurricane'}], 'hashtags': [{'start': 22, 'end': 32, 'tag': 'hurricane'}], 'mentions': [{'start': 3, 'end': 10, 'username': 'Zywave', 'id': '108637793'}]}",False,['474324628383744000'],Twitter for iPhone,en,"[{'type': 'retweeted', 'id': '474305342663589888'}]",4.74324628383744e+17,,,,1
474324561308028928,"Four Innovative Ways Hurricane Forecasts Have Improved to Save Lives -  Forecasters have learned... http://t.co/SFZX8GoyZ6
 #HurricaneSandy",935856134,2014-06-04T22:59:22.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",everyone,"{'urls': [{'start': 100, 'end': 122, 'url': 'http://t.co/SFZX8GoyZ6', 'expanded_url': 'http://j.mp/1pEprTo', 'display_url': 'j.mp/1pEprTo'}], 'annotations': [{'start': 125, 'end': 138, 'probability': 0.8119, 'type': 'Other', 'normalized_text': 'HurricaneSandy'}], 'hashtags': [{'start': 124, 'end': 139, 'tag': 'HurricaneSandy'}]}",False,['474324561308028928'],Tweet Old Post,en,,4.743245613080289e+17,,,,1
474324496476676097,RT @PlusLab: National hurricane awareness week is on  http://t.co/Dwh5hhVSgK new app from FEMA after the disaster #resilience,70950043,2014-06-04T22:59:07.000Z,"{'retweet_count': 2, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",everyone,"{'urls': [{'start': 54, 'end': 76, 'url': 'http://t.co/Dwh5hhVSgK', 'expanded_url': 'http://www.fema.gov/smartphone-app', 'display_url': 'fema.gov/smartphone-app'}], 'annotations': [{'start': 90, 'end': 93, 'probability': 0.3686, 'type': 'Organization', 'normalized_text': 'FEMA'}], 'hashtags': [{'start': 114, 'end': 125, 'tag': 'resilience'}], 'mentions': [{'start': 3, 'end': 11, 'username': 'PlusLab', 'id': '35203350'}]}",False,['474324496476676097'],Twitter for Android,en,"[{'type': 'retweeted', 'id': '474302245484650496'}]",4.743244964766761e+17,,,,1
474324404755640320,2014 hurricane season begins #today -  Forecasters are calling for a hurricane season slow in the number of storms... http://t.co/s2oIDYo6ln,2544720158,2014-06-04T22:58:45.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",everyone,"{'urls': [{'start': 118, 'end': 140, 'url': 'http://t.co/s2oIDYo6ln', 'expanded_url': 'http://j.mp/1tFWI0P', 'display_url': 'j.mp/1tFWI0P'}], 'hashtags': [{'start': 29, 'end': 35, 'tag': 'today'}]}",False,['474324404755640320'],Tweet Old Post,en,,4.743244047556403e+17,,,,1
474324390159450112,New site to help you #prepare for a #hurricane  http://t.co/OR7RwoIW7F,462395580,2014-06-04T22:58:41.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",everyone,"{'urls': [{'start': 48, 'end': 70, 'url': 'http://t.co/OR7RwoIW7F', 'expanded_url': 'http://www.survivalplankits.com', 'display_url': 'survivalplankits.com'}], 'annotations': [{'start': 37, 'end': 45, 'probability': 0.5238, 'type': 'Other', 'normalized_text': 'hurricane'}], 'hashtags': [{'start': 21, 'end': 29, 'tag': 'prepare'}, {'start': 36, 'end': 46, 'tag': 'hurricane'}]}",False,['474324390159450112'],TweetAdder v4,en,,4.743243901594501e+17,,,,1
474324367019896832,@Cartoonsbyjosh @th3Derek @richardabetts @lucialiljegren @RichardTol @EricHolthaus How about 'Tropical Storm miaow' or 'Hurricane purr',89165845,2014-06-04T22:58:36.000Z,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}",everyone,"{'annotations': [{'start': 94, 'end': 113, 'probability': 0.9459, 'type': 'Other', 'normalized_text': 'Tropical Storm miaow'}, {'start': 120, 'end': 133, 'probability': 0.9416, 'type': 'Other', 'normalized_text': 'Hurricane purr'}], 'mentions': [{'start': 0, 'end': 15, 'username': 'Cartoonsbyjosh', 'id': '380517384'}, {'start': 16, 'end': 25, 'username': 'th3Derek', 'id': '876098142'}, {'start': 26, 'end': 40, 'username': 'richardabetts', 'id': '101081754'}, {'start': 41, 'end': 56, 'username': 'lucialiljegren', 'id': '7994972'}, {'start': 57, 'end': 68, 'username': 'RichardTol', 'id': '40627145'}, {'start': 69, 'end': 82, 'username': 'EricHolthaus', 'id': '290180065'}]}",False,['474324367019896832'],Twitter Web Client,en,"[{'type': 'replied_to', 'id': '474324036370300928'}]",4.742531316570071e+17,380517384.0,,,1
