id,text,author_id,created_at,public_metrics,reply_settings,entities,possibly_sensitive,edit_history_tweet_ids,source,lang,referenced_tweets,conversation_id,in_reply_to_user_id,attachments,withheld,predictions
1566425848001056768,RT @teddy20671968: Send help max has got Ian 🙄 https://t.co/RwmnTgzLnP,1282750939,2022-09-04T13:59:59.000Z,"{'retweet_count': 28, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",everyone,"{'urls': [{'start': 47, 'end': 70, 'url': 'https://t.co/RwmnTgzLnP', 'expanded_url': 'https://twitter.com/teddy20671968/status/1566333091504955392/video/1', 'display_url': 'pic.twitter.com/RwmnTgzLnP', 'media_key': '7_1566333014967287808'}], 'annotations': [{'start': 29, 'end': 31, 'probability': 0.6426, 'type': 'Other', 'normalized_text': 'max'}, {'start': 41, 'end': 43, 'probability': 0.6126, 'type': 'Other', 'normalized_text': 'Ian'}], 'mentions': [{'start': 3, 'end': 17, 'username': 'teddy20671968', 'id': '1308676123014897666'}]}",False,['1566425848001056768'],Twitter Web App,en,"[{'type': 'retweeted', 'id': '1566333091504955392'}]",1566425848001056768,,{'media_keys': ['7_1566333014967287808']},,1
1566425843131420673,"@DineshDSouza Diaper Don got out his felt tip marker as the hurricane headed for Florida and he started drawing. He stated "" Dinesh lick here slowly"". https://t.co/1QXzM0tPMR",821032757069578240,2022-09-04T13:59:58.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",everyone,"{'urls': [{'start': 151, 'end': 174, 'url': 'https://t.co/1QXzM0tPMR', 'expanded_url': 'https://twitter.com/HeahenLover/status/1566425843131420673/photo/1', 'display_url': 'pic.twitter.com/1QXzM0tPMR', 'media_key': '16_1566425836558983168'}], 'annotations': [{'start': 14, 'end': 23, 'probability': 0.7409, 'type': 'Person', 'normalized_text': 'Diaper Don'}, {'start': 81, 'end': 87, 'probability': 0.9812, 'type': 'Place', 'normalized_text': 'Florida'}], 'mentions': [{'start': 0, 'end': 13, 'username': 'DineshDSouza', 'id': '91882544'}]}",False,['1566425843131420673'],Twitter for Android,en,"[{'type': 'replied_to', 'id': '1566174697963782155'}]",1566174697963782155,91882544.0,{'media_keys': ['16_1566425836558983168']},,1
1566425839276810240,RT @NHC_Atlantic: Tropical Storm #Earl Advisory 6: Earl Passing North of the Virgin Islands. Heavy Rains Could Cause Some Flooding Impacts…,1372230448210968578,2022-09-04T13:59:57.000Z,"{'retweet_count': 39, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",everyone,"{'hashtags': [{'start': 33, 'end': 38, 'tag': 'Earl'}], 'annotations': [{'start': 34, 'end': 37, 'probability': 0.4485, 'type': 'Place', 'normalized_text': 'Earl'}, {'start': 77, 'end': 90, 'probability': 0.8885, 'type': 'Place', 'normalized_text': 'Virgin Islands'}], 'mentions': [{'start': 3, 'end': 16, 'username': 'NHC_Atlantic', 'id': '299798272'}]}",False,['1566425839276810240'],Twitter for iPhone,en,"[{'type': 'retweeted', 'id': '1566344328447832067'}]",1566425839276810240,,,,1
1566425830124920833,RT @NHC_Atlantic: Hurricane #Danielle Advisory 13: Danielle Meandering Over the Central Atlantic. https://t.co/tW4KeFW0gB,1372230448210968578,2022-09-04T13:59:55.000Z,"{'retweet_count': 43, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",everyone,"{'hashtags': [{'start': 28, 'end': 37, 'tag': 'Danielle'}], 'urls': [{'start': 98, 'end': 121, 'url': 'https://t.co/tW4KeFW0gB', 'expanded_url': 'http://hurricanes.gov', 'display_url': 'hurricanes.gov', 'images': [{'url': 'https://pbs.twimg.com/news_img/1592140840641650691/HhWKiMP6?format=jpg&name=orig', 'width': 540, 'height': 30}, {'url': 'https://pbs.twimg.com/news_img/1592140840641650691/HhWKiMP6?format=jpg&name=150x150', 'width': 30, 'height': 30}], 'status': 200, 'title': 'National Hurricane Center', 'description': 'National Hurricane Center Home Page', 'unwound_url': 'https://www.nhc.noaa.gov/'}], 'annotations': [{'start': 18, 'end': 26, 'probability': 0.5352, 'type': 'Other', 'normalized_text': 'Hurricane'}, {'start': 29, 'end': 45, 'probability': 0.5621, 'type': 'Other', 'normalized_text': 'Danielle Advisory'}, {'start': 51, 'end': 69, 'probability': 0.5823, 'type': 'Person', 'normalized_text': 'Danielle Meandering'}, {'start': 80, 'end': 95, 'probability': 0.7509, 'type': 'Place', 'normalized_text': 'Central Atlantic'}], 'mentions': [{'start': 3, 'end': 16, 'username': 'NHC_Atlantic', 'id': '299798272'}]}",False,['1566425830124920833'],Twitter for iPhone,en,"[{'type': 'retweeted', 'id': '1566344829155430401'}]",1566425830124920833,,,,1
1566425827184676865,RT @mike_sharnet: @MomsAGAbbott @IAmPoliticsGirl I want to see government funded campaigns with equal limited money for each candidate.  no…,588229029,2022-09-04T13:59:54.000Z,"{'retweet_count': 57, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",everyone,"{'mentions': [{'start': 3, 'end': 16, 'username': 'mike_sharnet', 'id': '824468221868773376'}, {'start': 18, 'end': 31, 'username': 'MomsAGAbbott', 'id': '1425867981112893448'}, {'start': 32, 'end': 48, 'username': 'IAmPoliticsGirl', 'id': '3827830753'}]}",False,['1566425827184676865'],Twitter for Android,en,"[{'type': 'retweeted', 'id': '1566309709983784960'}]",1566425827184676865,,,,1
1566425805403602945,RT @NHC_Atlantic: Here are the 5 AM AST Sunday Key Messages for Tropical Storm #Earl.  Latest information at https://t.co/tW4KeGdBFb https:…,1372230448210968578,2022-09-04T13:59:49.000Z,"{'retweet_count': 76, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",everyone,"{'hashtags': [{'start': 79, 'end': 84, 'tag': 'Earl'}], 'urls': [{'start': 109, 'end': 132, 'url': 'https://t.co/tW4KeGdBFb', 'expanded_url': 'http://hurricanes.gov', 'display_url': 'hurricanes.gov', 'images': [{'url': 'https://pbs.twimg.com/news_img/1592140840641650691/HhWKiMP6?format=jpg&name=orig', 'width': 540, 'height': 30}, {'url': 'https://pbs.twimg.com/news_img/1592140840641650691/HhWKiMP6?format=jpg&name=150x150', 'width': 30, 'height': 30}], 'status': 200, 'title': 'National Hurricane Center', 'description': 'National Hurricane Center Home Page', 'unwound_url': 'https://www.nhc.noaa.gov/'}], 'annotations': [{'start': 80, 'end': 83, 'probability': 0.4779, 'type': 'Other', 'normalized_text': 'Earl'}], 'mentions': [{'start': 3, 'end': 16, 'username': 'NHC_Atlantic', 'id': '299798272'}]}",False,['1566425805403602945'],Twitter for iPhone,en,"[{'type': 'retweeted', 'id': '1566351020829163520'}]",1566425805403602945,,,,1
1566425802203430912,RT @rhodenjax: The poll seems just about right based on my family veranda discussions. Family is MEH about @AndrewHolnessJM leadership n th…,251518783,2022-09-04T13:59:48.000Z,"{'retweet_count': 4, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",everyone,"{'mentions': [{'start': 3, 'end': 13, 'username': 'rhodenjax', 'id': '4902991220'}, {'start': 107, 'end': 123, 'username': 'AndrewHolnessJM', 'id': '382671909'}]}",False,['1566425802203430912'],Twitter for iPhone,en,"[{'type': 'retweeted', 'id': '1566410572731760641'}]",1566425802203430912,,,,1
1566425767298449409,"RT @IsabellaMDeLuca: Fun Fact:

It's been 7 years since BLM was founded.

They have raised over $1 BILLION.

They haven't had 1 neighborhoo…",1508922044636872713,2022-09-04T13:59:40.000Z,"{'retweet_count': 1083, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",everyone,"{'annotations': [{'start': 56, 'end': 58, 'probability': 0.4326, 'type': 'Other', 'normalized_text': 'BLM'}], 'mentions': [{'start': 3, 'end': 19, 'username': 'IsabellaMDeLuca', 'id': '1178293200907313152'}]}",False,['1566425767298449409'],Twitter for iPhone,en,"[{'type': 'retweeted', 'id': '1565447651394568195'}]",1566425767298449409,,,,1
1566425753897541632,RT @Justice_forum: Sun 4 Sept: BF Hurricane currently unloading illegal immigrants at Dover after they were escorted out and handed over mi…,2719194484,2022-09-04T13:59:37.000Z,"{'retweet_count': 90, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",everyone,"{'annotations': [{'start': 31, 'end': 32, 'probability': 0.4008, 'type': 'Other', 'normalized_text': 'BF'}, {'start': 34, 'end': 42, 'probability': 0.3112, 'type': 'Other', 'normalized_text': 'Hurricane'}, {'start': 86, 'end': 90, 'probability': 0.979, 'type': 'Place', 'normalized_text': 'Dover'}], 'mentions': [{'start': 3, 'end': 17, 'username': 'Justice_forum', 'id': '491530957'}]}",False,['1566425753897541632'],Twitter for Android,en,"[{'type': 'retweeted', 'id': '1566379031305625600'}]",1566425753897541632,,,"{'copyright': False, 'country_codes': ['DE']}",1
1566425732565409794,@HunterHodies South of the hurricane zone.  Enjoy.,1128836329624809472,2022-09-04T13:59:32.000Z,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",everyone,"{'mentions': [{'start': 0, 'end': 13, 'username': 'HunterHodies', 'id': '401513227'}]}",False,['1566425732565409794'],Twitter for iPhone,en,"[{'type': 'replied_to', 'id': '1566423351987412993'}]",1566423351987412993,401513227.0,,,1
